sample,sin_out,cos_out,dds_ready
244,-25329,-20159,1
245,-24811,-20787,1
246,-24811,-20787,1
247,-24279,-21403,1
248,-23731,-22005,1
249,-23731,-22005,1
250,-23170,-22594,1
251,-23170,-22594,1
252,-22594,-23170,1
253,-22005,-23731,1
254,-22005,-23731,1
255,-21403,-24279,1
256,-20787,-24811,1
257,-20787,-24811,1
258,-20159,-25329,1
259,-19519,-25832,1
260,-19519,-25832,1
261,-18868,-26319,1
262,-18204,-26790,1
263,-18204,-26790,1
264,-17530,-27245,1
265,-17530,-27245,1
266,-16846,-27683,1
267,-16151,-28105,1
268,-16151,-28105,1
269,-15446,-28510,1
270,-14732,-28898,1
271,-14732,-28898,1
272,-14010,-29268,1
273,-13279,-29621,1
274,-13279,-29621,1
275,-12539,-29956,1
276,-12539,-29956,1
277,-11793,-30273,1
278,-11039,-30571,1
279,-11039,-30571,1
280,-10278,-30852,1
281,-9512,-31113,1
282,-9512,-31113,1
283,-8739,-31356,1
284,-7962,-31580,1
285,-7962,-31580,1
286,-7179,-31785,1
287,-6393,-31971,1
288,-6393,-31971,1
289,-5602,-32137,1
290,-5602,-32137,1
291,-4808,-32285,1
292,-4011,-32412,1
293,-4011,-32412,1
294,-3212,-32521,1
295,-2410,-32609,1
296,-2410,-32609,1
297,-1608,-32678,1
298,-804,-32728,1
299,-804,-32728,1
300,0,-32757,1
301,0,-32757,1
302,-32757,0,1
303,-32728,804,1
304,-32728,804,1
305,-32678,1608,1
306,-32609,2410,1
307,-32609,2410,1
308,-32521,3212,1
309,-32412,4011,1
310,-32412,4011,1
311,-32285,4808,1
312,-32137,5602,1
313,-32137,5602,1
314,-31971,6393,1
315,-31971,6393,1
316,-31785,7179,1
317,-31580,7962,1
318,-31580,7962,1
319,-31356,8739,1
320,-31113,9512,1
321,-31113,9512,1
322,-30852,10278,1
323,-30571,11039,1
324,-30571,11039,1
325,-30273,11793,1
326,-30273,11793,1
327,-29956,12539,1
328,-29621,13279,1
329,-29621,13279,1
330,-29268,14010,1
331,-28898,14732,1
332,-28898,14732,1
333,-28510,15446,1
334,-28105,16151,1
335,-28105,16151,1
336,-27683,16846,1
337,-27245,17530,1
338,-27245,17530,1
339,-26790,18204,1
340,-26790,18204,1
341,-26319,18868,1
342,-25832,19519,1
343,-25832,19519,1
344,-25329,20159,1
345,-24811,20787,1
346,-24811,20787,1
347,-24279,21403,1
348,-23731,22005,1
349,-23731,22005,1
350,-23170,22594,1
351,-23170,22594,1
352,-22594,23170,1
353,-22005,23731,1
354,-22005,23731,1
355,-21403,24279,1
356,-20787,24811,1
357,-20787,24811,1
358,-20159,25329,1
359,-19519,25832,1
360,-19519,25832,1
361,-18868,26319,1
362,-18204,26790,1
363,-18204,26790,1
364,-17530,27245,1
365,-17530,27245,1
366,-16846,27683,1
367,-16151,28105,1
368,-16151,28105,1
369,-15446,28510,1
370,-14732,28898,1
371,-14732,28898,1
372,-14010,29268,1
373,-13279,29621,1
374,-13279,29621,1
375,-12539,29956,1
376,-12539,29956,1
377,-11793,30273,1
378,-11039,30571,1
379,-11039,30571,1
380,-10278,30852,1
381,-9512,31113,1
382,-9512,31113,1
383,-8739,31356,1
384,-7962,31580,1
385,-7962,31580,1
386,-7179,31785,1
387,-6393,31971,1
388,-6393,31971,1
389,-5602,32137,1
390,-5602,32137,1
391,-4808,32285,1
392,-4011,32412,1
393,-4011,32412,1
394,-3212,32521,1
395,-2410,32609,1
396,-2410,32609,1
397,-1608,32678,1
398,-804,32728,1
399,-804,32728,1
400,0,32757,1
401,0,32757,1
402,0,32757,1
403,804,32728,1
404,804,32728,1
405,1608,32678,1
406,2410,32609,1
407,2410,32609,1
408,3212,32521,1
409,4011,32412,1
410,4011,32412,1
411,4808,32285,1
412,5602,32137,1
413,5602,32137,1
414,6393,31971,1
415,6393,31971,1
416,7179,31785,1
417,7962,31580,1
418,7962,31580,1
419,8739,31356,1
420,9512,31113,1
421,9512,31113,1
422,10278,30852,1
423,11039,30571,1
424,11039,30571,1
425,11793,30273,1
426,11793,30273,1
427,12539,29956,1
428,13279,29621,1
429,13279,29621,1
430,14010,29268,1
431,14732,28898,1
432,14732,28898,1
433,15446,28510,1
434,16151,28105,1
435,16151,28105,1
436,16846,27683,1
437,17530,27245,1
438,17530,27245,1
439,18204,26790,1
440,18204,26790,1
441,18868,26319,1
442,19519,25832,1
443,19519,25832,1
444,20159,25329,1
445,20787,24811,1
446,20787,24811,1
447,21403,24279,1
448,22005,23731,1
449,22005,23731,1
450,22594,23170,1
451,22594,23170,1
452,23170,22594,1
453,23731,22005,1
454,23731,22005,1
455,24279,21403,1
456,24811,20787,1
457,24811,20787,1
458,25329,20159,1
459,25832,19519,1
460,25832,19519,1
461,26319,18868,1
462,26790,18204,1
463,26790,18204,1
464,27245,17530,1
465,27245,17530,1
466,27683,16846,1
467,28105,16151,1
468,28105,16151,1
469,28510,15446,1
470,28898,14732,1
471,28898,14732,1
472,29268,14010,1
473,29621,13279,1
474,29621,13279,1
475,29956,12539,1
476,29956,12539,1
477,30273,11793,1
478,30571,11039,1
479,30571,11039,1
480,30852,10278,1
481,31113,9512,1
482,31113,9512,1
483,31356,8739,1
484,31580,7962,1
485,31580,7962,1
486,31785,7179,1
487,31971,6393,1
488,31971,6393,1
489,32137,5602,1
490,32137,5602,1
491,32285,4808,1
492,32412,4011,1
493,32412,4011,1
494,32521,3212,1
495,32609,2410,1
496,32609,2410,1
497,32678,1608,1
498,32728,804,1
499,32728,804,1
