input_n,data_in,output_n,data_out
589,859,146,3614
593,548,147,3390
597,235,148,3154
601,-78,149,2904
605,-392,150,2643
609,-704,151,2371
613,-1013,152,2091
617,-1319,153,1802
621,-1619,154,1506
625,-1913,155,1203
629,-2199,156,896
633,-2477,157,586
637,-2745,158,274
641,-3002,159,-40
645,-3247,160,-353
649,-3479,161,-665
653,-3698,162,-975
657,-3902,163,-1280
661,-4090,164,-1581
665,-4263,165,-1876
669,-4418,166,-2162
673,-4557,167,-2441
677,-4677,168,-2710
681,-4778,169,-2968
685,-4861,170,-3215
689,-4925,171,-3449
693,-4969,172,-3669
697,-4994,173,-3875
701,-4999,174,-4065
705,-4984,175,-4239
709,-4950,176,-4397
713,-4896,177,-4537
717,-4822,178,-4660
721,-4730,179,-4764
725,-4619,180,-4849
729,-4490,181,-4915
733,-4343,182,-4961
737,-4179,183,-4989
741,-3998,184,-4996
745,-3802,185,-4984
749,-3590,186,-4952
753,-3365,187,-4900
757,-3126,188,-4829
761,-2875,189,-4739
765,-2612,190,-4631
769,-2339,191,-4504
773,-2057,192,-4359
777,-1767,193,-4197
781,-1470,194,-4019
785,-1167,195,-3825
789,-859,196,-3615
793,-548,197,-3391
797,-235,198,-3155
801,78,199,-2905
805,392,200,-2644
809,704,201,-2372
813,1013,202,-2091
817,1319,203,-1803
821,1619,204,-1507
825,1913,205,-1204
829,2199,206,-897
833,2477,207,-587
837,2745,208,-275
841,3002,209,39
845,3247,210,352
849,3479,211,664
853,3698,212,974
857,3902,213,1279
861,4090,214,1580
865,4263,215,1875
869,4418,216,2161
873,4557,217,2440
877,4677,218,2709
881,4778,219,2967
885,4861,220,3214
889,4925,221,3448
893,4969,222,3668
897,4994,223,3874
901,4999,224,4064
905,4984,225,4238
909,4950,226,4396
913,4896,227,4536
917,4822,228,4659
921,4730,229,4763
925,4619,230,4848
929,4490,231,4914
933,4343,232,4960
937,4179,233,4988
941,3998,234,4995
945,3802,235,4983
949,3590,236,4951
953,3365,237,4899
957,3126,238,4828
961,2875,239,4738
965,2612,240,4630
969,2339,241,4503
973,2057,242,4358
977,1767,243,4196
981,1470,244,4018
985,1167,245,3824
989,859,246,3614
993,548,247,3390
997,235,248,3154
1001,-78,249,2904
1005,-392,250,2643
1009,-704,251,2371
1013,-1013,252,2091
1017,-1319,253,1802
1021,-1619,254,1506
1025,-1913,255,1203
1029,-2199,256,896
1033,-2477,257,586
1037,-2745,258,274
1041,-3002,259,-40
1045,-3247,260,-353
1049,-3479,261,-665
1053,-3698,262,-975
1057,-3902,263,-1280
1061,-4090,264,-1581
1065,-4263,265,-1876
1069,-4418,266,-2162
1073,-4557,267,-2441
1077,-4677,268,-2710
1081,-4778,269,-2968
1085,-4861,270,-3215
1089,-4925,271,-3449
1093,-4969,272,-3669
1097,-4994,273,-3875
1101,-4999,274,-4065
1105,-4984,275,-4239
1109,-4950,276,-4397
1113,-4896,277,-4537
1117,-4822,278,-4660
1121,-4730,279,-4764
1125,-4619,280,-4849
1129,-4490,281,-4915
1133,-4343,282,-4961
1137,-4179,283,-4989
1141,-3998,284,-4996
1145,-3802,285,-4984
1149,-3590,286,-4952
1153,-3365,287,-4900
1157,-3126,288,-4829
1161,-2875,289,-4739
1165,-2612,290,-4631
1169,-2339,291,-4504
1173,-2057,292,-4359
1177,-1767,293,-4197
1181,-1470,294,-4019
1185,-1167,295,-3825
1189,-859,296,-3615
1193,-548,297,-3391
1197,-235,298,-3155
1201,78,299,-2905
1205,392,300,-2644
1209,704,301,-2372
1213,1013,302,-2091
1217,1319,303,-1803
1221,1619,304,-1507
1225,1913,305,-1204
1229,2199,306,-897
1233,2477,307,-587
1237,2745,308,-275
1241,3002,309,39
1245,3247,310,352
1249,3479,311,664
1253,3698,312,974
1257,3902,313,1279
1261,4090,314,1580
1265,4263,315,1875
1269,4418,316,2161
1273,4557,317,2440
1277,4677,318,2709
1281,4778,319,2967
1285,4861,320,3214
1289,4925,321,3448
1293,4969,322,3668
1297,4994,323,3874
1301,4999,324,4064
1305,4984,325,4238
1309,4950,326,4396
1313,4896,327,4536
1317,4822,328,4659
1321,4730,329,4763
1325,4619,330,4848
1329,4490,331,4914
1333,4343,332,4960
1337,4179,333,4988
1341,3998,334,4995
1345,3802,335,4983
1349,3590,336,4951
1353,3365,337,4899
1357,3126,338,4828
1361,2875,339,4738
1365,2612,340,4630
1369,2339,341,4503
1373,2057,342,4358
1377,1767,343,4196
1381,1470,344,4018
1385,1167,345,3824
1389,859,346,3614
1393,548,347,3390
1397,235,348,3154
1401,-78,349,2904
1405,-392,350,2643
1409,-704,351,2371
1413,-1013,352,2091
1417,-1319,353,1802
1421,-1619,354,1506
1425,-1913,355,1203
1429,-2199,356,896
1433,-2477,357,586
1437,-2745,358,274
1441,-3002,359,-40
1445,-3247,360,-353
1449,-3479,361,-665
1453,-3698,362,-975
1457,-3902,363,-1280
1461,-4090,364,-1581
1465,-4263,365,-1876
1469,-4418,366,-2162
1473,-4557,367,-2441
1477,-4677,368,-2710
1481,-4778,369,-2968
1485,-4861,370,-3215
1489,-4925,371,-3449
1493,-4969,372,-3669
1497,-4994,373,-3875
1501,-4999,374,-4065
1505,-4984,375,-4239
1509,-4950,376,-4397
1513,-4896,377,-4537
1517,-4822,378,-4660
1521,-4730,379,-4764
1525,-4619,380,-4849
1529,-4490,381,-4915
1533,-4343,382,-4961
1537,-4179,383,-4989
1541,-3998,384,-4996
1545,-3802,385,-4984
1549,-3590,386,-4952
1553,-3365,387,-4900
1557,-3126,388,-4829
1561,-2875,389,-4739
1565,-2612,390,-4631
1569,-2339,391,-4504
1573,-2057,392,-4359
1577,-1767,393,-4197
1581,-1470,394,-4019
1585,-1167,395,-3825
1589,-859,396,-3615
1593,-548,397,-3391
1597,-235,398,-3155
